"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black"
"355",12201,2013,0,0,0,37,129,2978,2909,10,0.976830087,0.003357958
"356",12201,2014,0,1,1,37,129,2952,2900,10,0.982384824,0.003387534
"357",12201,2015,1,1,2,37,129,2873,2834,0,0.986425339,0
"358",12201,2016,0,1,1,37,129,2719,2632,0,0.968002942,0
"359",12201,2017,0,0,0,37,129,2775,2705,0,0.974774775,0
"360",12201,2018,0,1,1,37,129,2822,2718,0,0.963146704,0
"361",12202,2010,0,0,0,37,129,2868,2722,133,0.949093445,0.04637378
"362",12202,2011,0,2,2,37,129,2713,2586,114,0.953188352,0.042019904
"363",12202,2012,0,0,0,37,129,2881,2708,132,0.939951406,0.045817425
"364",12202,2013,0,0,0,37,129,2839,2653,131,0.934483973,0.046143008
"365",12202,2014,0,0,0,37,129,2936,2640,100,0.899182561,0.034059946
"366",12202,2015,0,1,1,37,129,3097,2755,132,0.889570552,0.042621892
"367",12202,2016,0,1,1,37,129,3329,3090,0,0.928206669,0
"368",12202,2017,0,0,0,37,129,3341,3088,6,0.924274169,0.00179587
"369",12202,2018,0,0,0,37,129,3372,3167,7,0.939205219,0.002075919
"370",12203,2010,0,0,0,37,129,1660,1602,6,0.965060241,0.003614458
"371",12203,2011,0,0,0,37,129,1770,1652,13,0.933333333,0.007344633
"372",12203,2012,0,2,2,37,129,1916,1764,11,0.920668058,0.005741127
"373",12203,2013,0,0,0,37,129,2001,1868,14,0.933533233,0.006996502
"374",12203,2014,0,0,0,37,129,2388,2116,10,0.886097152,0.004187605
"375",12203,2015,2,0,2,37,129,2286,2238,10,0.979002625,0.004374453
"376",12203,2016,0,0,0,37,129,2335,2307,5,0.988008565,0.002141328
"377",12203,2017,0,0,0,37,129,2295,2284,0,0.995206972,0
"378",12203,2018,1,0,1,37,129,2271,2256,0,0.99339498,0
"379",12300,2010,0,2,2,37,129,6150,5631,395,0.915609756,0.064227642
"380",12300,2011,0,3,3,37,129,6817,6359,346,0.932815021,0.050755464
"381",12300,2012,1,0,1,37,129,6947,6540,288,0.94141356,0.041456744
"382",12300,2013,0,5,5,37,129,6991,6622,273,0.947217852,0.039050207
"383",12300,2014,1,1,2,37,129,7359,6716,582,0.912623998,0.079086832
"384",12300,2015,0,3,3,37,129,7462,6924,450,0.927901367,0.060305548
"385",12300,2016,1,2,3,37,129,7846,7343,379,0.9358909,0.048304869
"386",12300,2017,0,2,2,37,129,8339,7595,610,0.910780669,0.073150258
"387",12300,2018,1,2,3,37,129,8823,7942,694,0.900147342,0.078658053
"388",980100,2010,0,0,0,37,129,0,0,0,0,0
"389",980100,2011,12,0,12,37,129,0,0,0,0,0
"390",980100,2012,0,2,2,37,129,0,0,0,0,0
"391",980100,2013,0,1,1,37,129,0,0,0,0,0
"392",980100,2014,0,1,1,37,129,0,0,0,0,0
"393",980100,2015,0,0,0,37,129,0,0,0,0,0
"394",980100,2016,0,0,0,37,129,0,0,0,0,0
"395",980100,2017,0,0,0,37,129,0,0,0,0,0
"396",980100,2018,0,3,3,37,129,0,0,0,0,0
"397",990100,2010,0,0,0,37,129,0,0,0,0,0
"398",990100,2011,0,0,0,37,129,0,0,0,0,0
"399",990100,2012,0,0,0,37,129,0,0,0,0,0
"400",990100,2013,0,0,0,37,129,0,0,0,0,0
"401",990100,2014,0,0,0,37,129,0,0,0,0,0
"402",990100,2015,0,0,0,37,129,0,0,0,0,0
"403",990100,2016,0,0,0,37,129,0,0,0,0,0
"404",990100,2017,0,0,0,37,129,0,0,0,0,0
"405",990100,2018,0,0,0,37,129,0,0,0,0,0
